InventoryID,Date,ProductID,StoreID,OpeningStock,PurchaseQty,SalesQty,ClosingStock
01-01-2024 00:00,01-01-2024,1,3,120,30,25,125
01-01-2024 00:00,01-01-2024,2,5,140,20,18,142
01-01-2024 00:00,01-01-2024,3,2,160,35,22,173
01-01-2024 00:00,01-01-2024,4,7,110,40,30,120
01-01-2024 00:00,01-01-2024,5,4,90,25,15,100
01-01-2024 00:00,01-01-2024,6,1,200,20,35,185
01-01-2024 00:00,01-01-2024,7,8,180,45,20,205
01-01-2024 00:00,01-01-2024,8,6,75,30,18,87
01-01-2024 00:00,01-01-2024,9,9,150,22,12,160
01-01-2024 00:00,01-01-2024,10,3,130,26,19,137
01-01-2024 00:00,01-01-2024,11,2,170,31,24,177
01-01-2024 00:00,01-01-2024,12,10,95,18,10,103
01-01-2024 00:00,01-01-2024,13,5,145,27,20,152
01-01-2024 00:00,01-01-2024,14,7,88,21,16,93
01-01-2024 00:00,01-01-2024,15,4,155,33,28,160
01-01-2024 00:00,01-01-2024,16,1,210,25,40,195
01-01-2024 00:00,01-01-2024,17,6,175,29,14,190
01-01-2024 00:00,01-01-2024,18,3,98,15,9,104
01-01-2024 00:00,01-01-2024,19,8,120,20,17,123
01-01-2024 00:00,01-01-2024,20,2,140,35,22,153
01-01-2024 00:00,01-01-2024,21,9,160,18,30,148
01-01-2024 00:00,01-01-2024,22,4,130,28,15,143
01-01-2024 00:00,01-01-2024,23,6,100,30,20,110
01-01-2024 00:00,01-01-2024,24,5,90,12,8,94
01-01-2024 00:00,01-01-2024,25,3,170,40,25,185
01-01-2024 00:00,01-01-2024,26,7,150,20,18,152
01-01-2024 00:00,01-01-2024,27,8,200,50,30,220
01-01-2024 00:00,01-01-2024,28,1,175,22,16,181
01-01-2024 00:00,01-01-2024,29,9,95,14,11,98
01-01-2024 00:00,01-01-2024,30,2,110,26,17,119
01-01-2024 00:00,01-01-2024,31,4,185,34,21,198
01-01-2024 00:00,01-01-2024,32,6,205,40,35,210
01-01-2024 00:00,01-01-2024,33,3,98,16,10,104
01-01-2024 00:00,01-01-2024,34,7,125,23,18,130
01-01-2024 00:00,01-01-2024,35,10,135,19,12,142
01-01-2024 00:00,01-01-2024,36,5,145,28,24,149
01-01-2024 00:00,01-01-2024,37,1,160,35,29,166
01-01-2024 00:00,01-01-2024,38,9,170,18,20,168
01-01-2024 00:00,01-01-2024,39,2,155,21,15,161
01-01-2024 00:00,01-01-2024,40,4,120,25,10,135
01-01-2024 00:00,01-01-2024,41,6,140,30,22,148
01-01-2024 00:00,01-01-2024,42,3,165,27,19,173
01-01-2024 00:00,01-01-2024,43,8,180,33,26,187
01-01-2024 00:00,01-01-2024,44,5,150,20,14,156
01-01-2024 00:00,01-01-2024,45,7,175,29,21,183
01-01-2024 00:00,01-01-2024,46,1,190,35,28,197
01-01-2024 00:00,01-01-2024,47,2,210,24,30,204
01-01-2024 00:00,01-01-2024,48,6,220,40,32,228
01-01-2024 00:00,01-01-2024,49,9,130,26,17,139
01-01-2024 00:00,01-01-2024,50,4,140,22,20,142
